Gene1	Gene2	Weight
CENPP	CENPO	1
PTBP1	DHX16	1
SRSF5	RBM39	1
SF3B2	MTREX	1
ING2	SUDS3	1
CUL2	CUL3	1
CRNKL1	EIF4A3	1
SNW1	DDX23	1
IFT57	TRAF3IP1	1
RPL32	MOV10	1
CCP110	CEP290	1
INTS8	INTS2	1
SENP3	RNF2	1
NCAPH2	NCAPD3	1
CRK	SOS1	1
EIF3G	EIF3K	1
MED24	MED8	1
ASF1B	CHAF1B	1
WASHC5	FKBP15	1
CUL1	RELA	1
DGCR8	HNRNPR	1
RBBP4	H3C3	1
WDR5	RNF2	1
ATP5PB	MT-ATP6	1
TEX10	KAT8	1
CAPN1	CAPNS1	1
ZRSR2	SF3B2	1
MRPL50	MRPL21	1
ASF1B	ASF1A	1
RPL19	DICER1	1
TRAPPC6B	TRAPPC4	1
RIPK1	TNF	1
REL	NFKB2	1
RREB1	CBX4	1
EIF3E	EIF3D	1
MT-ATP6	ATP5F1C	1
TRAPPC2L	TRAPPC9	1
EIF3G	EIF3L	1
PRMT5	SNRPD2	1
TRAPPC2	TRAPPC10	1
PARP1	H2AZ1	1
TADA2A	ZZZ3	1
FAM8A1	SEL1L	1
REL	RASAL2	1
DERL2	UBE2J1	1
FIP1L1	CPSF1	1
BTRC	SKP2	1
DERL1	SYVN1	1
MICU2	MCU	1
NDUFB7	MT-ND5	1
SAP30	KDM1A	1
XPA	ERCC1	1
RPL5	RPL24	1
CDK7	ERCC2	1
RPL27	RPL28	1
MED23	MED13L	1
DDX23	SNRNP40	1
DHX9	STAU1	1
ARHGEF7	GIT1	1
COX4I1	SURF1	1
SF3B3	SF3B4	1
CCT2	CCT5	1
COX4I1	MT-CO3	1
H3-3B	ASF1B	1
KAT2A	ZZZ3	1
TERF1	TINF2	1
DTL	DDB1	1
DTNBP1	AP3S1	1
PRPF8	TOP2A	1
DR1	TADA3	1
WASHC5	WASHC4	1
EIF3H	EIF3L	1
MCC	RELA	1
SF3B1	SF3B6	1
MBD2	BAZ1A	1
APOA1	FN1	1
RPL19	RPL36	1
ACIN1	HTATSF1	1
POLR2B	POLR2E	1
RPL35A	MOV10	1
REL	IKBKG	1
ING2	BRMS1	1
SEPTIN2	SEPTIN9	1
DDX21	SSRP1	1
RPS3	RPL37A	1
HDAC2	RCOR3	1
RPL6	RPS13	1
HDAC3	TBL1X	1
LSM2	TXNL4A	1
IFNB1	IFNAR1	1
MED19	MED31	1
LSM5	LSM4	1
INTS7	INTS8	1
DYNLL2	DYNLT3	1
MED19	MED16	1
ATP5F1D	ATP5PB	1
RPS2	RPL23	1
SRPK1	SSRP1	1
PRPF19	CWC15	1
MRPL4	MRPL22	1
RPL37A	DICER1	1
SIN3A	TAF6	1
ASF1A	H4C2	1
NDUFB3	NDUFB2	1
SMARCA2	CHD3	1
PRPF4	DDX46	1
MED17	MED29	1
NDUFB5	NDUFB6	1
POLA2	POLD1	1
HMG20B	HMG20A	1
TRAPPC3	TRAPPC6A	1
MBIP	KAT14	1
XIAP	MAP3K7	1
HDAC1	ZMYM2	1
ASH2L	KDM6A	1
SGF29	YEATS2	1
MED20	MED26	1
MRPL14	MRPL35	1
VHL	ELOC	1
PALS2	LIN7A	1
PPIL1	AQR	1
FASTKD2	FASTKD5	1
EHMT2	ZEB2	1
CUL1	CUL3	1
ATP5MG	ATP5IF1	1
RSL24D1	RPL30	1
WASF2	ABI1	1
DDX6	EIF4ENIF1	1
NDUFV2	NDUFA6	1
HMG20A	KDM1A	1
FHL2	HIPK2	1
AQR	U2AF2	1
CHUK	RASAL2	1
MED19	MED13	1
CCNC	CDK3	1
NFKBIB	NFKB2	1
NDUFB8	NDUFB5	1
WEE1	SKP2	1
PRPF8	SNRNP27	1
MCRS1	TAF7	1
ATP5PB	ATP5F1A	1
SIN3A	BRMS1	1
MED10	MED4	1
SRSF5	U2AF2	1
POLR1B	POLR1G	1
MED10	MED13L	1
MRPL14	MRPL32	1
MED8	MED16	1
SNRPA1	SRSF3	1
SF3B1	BCAS2	1
POLR2L	POLR2F	1
