Complexes(Gene Name)	virus-related-Gene	Percentage(|virus-related-Gene| / |complex|)
LPGAT1;ALG11;AGPAT1;FDFT1;TMEM259;KDSR;UBAC2;GPAT3;CDS2;LPCAT4;GPAT4;VKORC1L1;GGCX;PTDSS2;ERMP1;ATP13A1;MBOAT7	3	0.176470588235
MRPL12;MRPS33;MRPL16;MRPL24;MRPL17;MRPL38;MRPL3;MRPL45;MRPL22;MRPL4;MRPL49;MRPL27;MRPL43;MRPL48;MRPL47;MRPL32;MRPL39;MRPL11;MRPL55;MRPL9;MRPS18A;MRPL41;MRPL15;MRPL10;MRPL20;MRPL46;MRPS30;MRPL58;MRPL57;MRPL19;MRPL1;MRPS34;MRPS18C;MRPS2;MRPS10;MRPL40;MRPL44;MRPS24	1	0.0263157894737
MPHOSPH10;IMP3;IMP4	1	0.333333333333
ATP5F1E;ATP5F1D;ATP5PD;ATP5MG;ATP5PO;ATP5F1C;ATP5PB;ATP5PF;ATP5ME;MT-ATP6;ATP5F1A;ATP5IF1	1	0.0833333333333
POR;FAM162A	2	1.0
LRRCC1;MIB1	1	0.5
BTLA;IL17RA	1	0.5
SLC30A9;CAMLG	1	0.5
CWC27;SNRPD3;CWC22;SRRM2	1	0.25
ALG12;SOAT1;LPCAT4;RPN2;RFT1;ALG11;GPAT4;ERMP1;LPCAT3;PIGO;MBOAT7;POMT2;CDS1	3	0.230769230769
ATP5F1D;ATP5PD;ATP5MG;ATP5PO;ATP5F1C;ATP5PF;ATP5ME;MT-ATP6	1	0.125
CSNK2A2;PPIL4;NFKBIL1	1	0.333333333333
AP3S2;AP3M2;AP3B2;AP3S1;AP3M1;AP3B1;AP3D1	1	0.142857142857
RPL28;RPL34;RPL18A;RPL14;RPL32;RPL35A;RPL36;RPLP1;RPL30;RPL27;RPLP2;RPL37A;RPL7A;RPL15;RPL21;RPL12;RPL31;RPL27A;RPL10A;RPL7;RPL19;RPL9P8;RPL8;RPL11;RPL26;RPL24;RPL18;RPS26;RPL13A;RPL5;RPL6;RPS13;RPS14;RPL13;RPL4;RPLP0;RPS24;RPS8;RPS5;RPS17;RPS16;RPL35;RPL23A;RPS18;RPS19;RPS9;RPL3;RPS20;RPS25;RPS3A;RPS2;RPS15;RPS3;RPS23;RPS6;RPS15A	1	0.0178571428571
SIX2;TLE5	1	0.5
MFGE8;F10	1	0.5
DARS2;PDK2;PDK1;NARS2	1	0.25
RPS14;RPL7;RPS25;RPL35A;RPS16;RPL10A;RPL30;RPL28;RPL18A;RPL14;RPL36;RPL31;RPLP1;RPL32;RPL27A;RPLP2;RPL34;RPL8;RPL26;RPL18;RPL37A;RPL13A;RPS18;RPS26;RPS13;RPS24;RPL11;RPL5;RPL15;RPL23A;RPL7A;RPL27;RPL19;RPL12;RPS5;RPL9P8;RPS17;RPS8;RPL24;RPL6;RPS19;RPL35;RPL4;RPLP0;RPS9;RPL13;RPS20;RPS2;RPS15;RPS3;RPS3A;RPS23;RPS6;RPL3;RPS15A	1	0.0181818181818
MRPS5;MRPS6;MRPS34;MRPS22;MRPS17;MRPS14;MRPS2;MRPS28;MRPS12;MRPS10;MRPS21;MRPS18C;MRPS18A;MRPS11;MRPS7;MRPS16;MRPS35;MRPS24;MRPS33;MRPS9;MRPL42;MRPL20;MRPL17;MRPL16;MRPL15;MRPL24;MRPL23;MRPL48;MRPL1;MRPS25;MRPL30;MRPL38;MRPL4;MRPL34;MRPL21;MRPL22;MRPL47;MRPL3;MRPL2;MRPL55;MRPL9;MRPL11;MRPL50;MRPL33;MRPL49;MRPL39;MRPL13;MRPL18;MRPL37;MRPL54;MRPL35;MRPL43;MRPL32;MRPL41;MRPL14;MRPL51;MRPL27;MRPS30;MRPL45;MRPL52;MRPL10;MRPL28;MRPL57;MRPL46;MRPL53;MRPL12;MRPL58;MRPL19;MRPS23;MRPL40;MRPL44	3	0.0422535211268
SRP68;SRP19	1	0.5
SEH1L;NUP43;NUP133;NUP107;NUP37;NUP160;SEC13;NUP98	1	0.125
PLAT;SLIT2	1	0.5
YIF1B;YIF1A	1	0.5
DHX37;BRIX1;RPF2;NLE1;TSPYL1;FCF1;NOP2;SDAD1;DDX52;RBM34;REXO4;ZCCHC9;RSL24D1;UTP3;WDR74;NVL;SPTY2D1;DDX54;PWP2;FTSJ3;TBL3;DNTTIP2;WDR36;BMS1;CCDC86;ZBTB11;SURF6;ESF1;TAF1C	1	0.0344827586207
SURF6;RPF2;RIOX1;BRIX1;FCF1;DHX37;NOP16;REXO4;NLE1;TSPYL1;NOP2;DDX52;SDAD1;RBM34;RSL24D1;WDR74;UTP3;NIP7;ZNF16;NKRF;SPTY2D1;DNTTIP2;FTSJ3;TBL3;DDX54;ZCCHC9;BMS1;TAF1C;ZBTB11;ZNF771;ISG20L2;NVL;ESF1;PWP2;NOC3L;CCDC86;WDR36;UTP18;WDR46;USP36	1	0.025
ARHGDIA;RHOA	1	0.5
HDAC2;ZNF217;HDAC1	1	0.333333333333
MIB1;CEP76	1	0.5
ELOC;ELOB	2	1.0
ITGA2;ITGB1	1	0.5
USP20;CEP192;HAUS2;HAUS1;HAUS8;HAUS7;HAUS4;HAUS6;STIL;CEP43;HAUS5	1	0.0909090909091
SLC38A10;ABHD16A;ST7;TMEM104;TMEM223;TMEM39B;LMF2;TMPPE;DPY19L1;TMEM186;TLCD4;ERMP1;LPCAT3;PIGO;ALG9	4	0.266666666667
SUN1;SUN2	1	0.5
EXOSC9;EXOSC1;MPHOSPH6;EXOSC3;EXOSC7;EXOSC6;EXOSC4;EXOSC5;EXOSC2;EXOSC8;C1D	4	0.363636363636
FAM8A1;MFSD3	1	0.5
BCKDK;BCKDHB;BCKDHA;DBT	1	0.25
MT-ND3;NDUFA1;NDUFB6;NDUFB11;NDUFB1;NDUFA6;NDUFB10;NDUFA2;NDUFA7;NDUFS6;NDUFS5;NDUFB2;NDUFA5;NDUFA8;NDUFV1;NDUFB7;NDUFV2;NDUFB4;MT-ND2;NDUFB9;NDUFV3;NDUFS4;NDUFS3;NDUFS1;NDUFS2;NDUFAB1;NDUFA12;NDUFA10;NDUFA3;NDUFAF2;NDUFS8;NDUFS7	2	0.0625
