UniProt1	UniProt2	Weight
A0JLT2	Q9Y3C7	1
Q9Y4Y9	Q9Y4Z0	1
Q9NVH2	Q75QN2	1
Q96FJ2	P51808	1
A0JLT2	Q9Y2X0	1
P30049	P24539	1
P15880	P62829	1
Q96SB4	Q08945	1
Q9UMS4	Q9P013	1
Q9BYD3	Q9NWU5	1
P61513	Q9UPY3	1
Q96ST3	P49848	1
Q9Y294	P62805	1
O43676	O95178	1
P51531	Q12873	1
O43172	Q7L014	1
Q9NVC6	Q9NX70	1
O43674	O95139	1
Q14181	P28340	1
Q9P0W2	Q9NP66	1
O43617	O75865	1
Q9NS73	Q9H8E8	1
P98170	O43318	1
Q13547	Q9UBW7	1
Q9UBL3	O15550	1
Q96ES7	Q9ULM3	1
Q9H944	O95402	1
Q6P1L8	Q9NZE8	1
P40337	Q15369	1
Q9NZW5	O14910	1
Q9Y3C6	O60306	1
Q9NYY8	Q7L8L6	1
Q96KQ7	O60315	1
Q13616	Q13618	1
O75964	Q9UII2	1
Q9UHA3	P62888	1
Q9Y6W5	Q8IZP0	1
P26196	Q9NRA8	1
P19404	P56556	1
Q9NP66	O60341	1
Q14192	Q9H2X6	1
O60306	P26368	1
O15111	Q9UJF2	1
A0JLT2	Q9UHV7	1
P24863	Q00526	1
Q15653	Q00653	1
O95169	O43674	1
P30291	Q13309	1
Q6P2Q9	Q8WVK2	1
Q96EZ8	Q15545	1
P24539	P25705	1
Q96ST3	Q9HCU9	1
Q9BTT4	Q9NPJ6	1
Q13243	P26368	1
Q9H9Y6	O15446	1
Q9BTT4	Q71F56	1
Q6P1L8	Q9BYC8	1
Q96G25	Q9Y2X0	1
P09661	P84103	1
O75533	O75934	1
P62875	P61218	1
P03915	O14561	1
Q6P9F7	Q8IWT6	1
P48047	Q9UII2	1
Q13405	Q7Z2W9	1
O60264	O94776	1
Q16514	P51531	1
O75533	Q8N8D1	1
P14678	Q15696	1
Q09028	P49321	1
Q9H160	O75446	1
P61513	P62263	1
P18124	P62888	1
O43172	Q96DF8	1
Q96N67	Q2M389	1
O95347	Q9NTJ3	1
Q6P2C8	O75586	1
P25963	Q00653	1
Q15596	Q9Y6K9	1
Q16576	O75530	1
P78371	P50990	1
Q15029	P09661	1
P62306	Q9BWJ5	1
Q8TBF4	Q16560	1
Q9Y664	Q5T011	1
P61326	O15234	1
Q92643	O43292	1
O95298	O95169	1
Q9Y664	Q969R8	1
Q9H8E8	Q9ULM3	1
Q9Y294	P49321	1
P62910	P46779	1
Q9UKB1	O15446	1
Q00839	P61254	1
Q16254	P24864	1
Q71F56	O75586	1
Q13438	Q86TM6	1
