Complexes(UniProt IDs)	virus-related-protein	Percentage(|virus-related-protein| / |complex|)
Q06265;Q9Y3B2;Q99547;Q9NQT5;Q15024;Q5RKV6;Q9NPD3;Q9NQT4;Q13868;Q96B26;Q13901	4	0.363636363636
Q9UBU6;Q96ES6	1	0.5
O14874;P21953;P12694;P11182	1	0.25
P03897;O15239;O95139;Q9NX14;O75438;P56556;O96000;O43678;O95182;O75380;O43920;O95178;Q16718;P51970;P49821;P17568;P19404;O95168;P03891;Q9Y6M9;P56181;O43181;O75489;P28331;O75306;O14561;Q9UI09;O95299;O95167;Q8N183;O00217;O75251	2	0.0625
Q9HD33;O75394;Q96EL3;Q9BQ48;Q6P1L8;Q8N983;Q6P161;Q9NYK5;Q13405;Q8N5N7;Q9BZE1;Q9H0U6;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q9BYD1;Q96GC5;Q96DV4;Q9BYC8;Q9BYD2;Q9Y3B7;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82921;Q9Y3D5;P82664;Q9Y2R9;P82930;Q9Y399;Q96EL2;P82912;P82650;Q9Y3D3;P82673;Q9NQ50;P82675;P82932;Q9Y3D9;Q9Y2Q9;P82933;Q9H9J2	3	0.0428571428571
Q9UKM7;O43909;Q8NAT1;Q13724;Q93063	1	0.2
O95684;O43303;Q8NBT0;Q9H6D7;Q9C0F1	1	0.2
Q9NVH2;Q75QN2;Q96HW7;Q8N201;Q68E01;Q9H0H0;Q6P9B9	1	0.142857142857
Q9NV88;Q75QN2;Q96HW7;Q5TA45;Q9UL03;Q68E01	1	0.166666666667
O43920;O43678;O96000;O95178;Q16718;O95182;P56556;O75380;P51970;P49821;O15239;O75438;P17568;O95139;P19404;P56181;P03897;Q9NX14;O95168;Q9Y6M9;O43181;O75489;P28331;O75306;O14561;Q9UI09;O95167;O95299;O00217;O75251	1	0.0333333333333
